"date","price","week","weekly_average","five_days_moving_average","daily_percent_change"
"2024-10-06","1.3616",1,"1.3695","1.3616","0"
"2024-10-07","1.3647",1,"1.3695","1.3632","0.23"
"2024-10-08","1.3710",1,"1.3695","1.3658","0.46"
"2024-10-09","1.3739",1,"1.3695","1.3678","0.21"
"2024-10-10","1.3762",1,"1.3695","1.3695","0.17"
"2024-10-13","1.3795",2,"1.3783","1.3712","0.24"
"2024-10-14","1.3774",2,"1.3783","1.3738","-0.15"
"2024-10-15","1.3750",2,"1.3783","1.3755","-0.17"
"2024-10-16","1.3794",2,"1.3783","1.3769","0.32"
"2024-10-17","1.3800",2,"1.3783","1.3779","0.04"
"2024-10-20","1.3831",3,"1.3846","1.3791","0.22"
"2024-10-21","1.3816",3,"1.3846","1.3794","-0.11"
"2024-10-22","1.3836",3,"1.3846","1.3805","0.14"
"2024-10-23","1.3854",3,"1.3846","1.3822","0.13"
"2024-10-24","1.3891",3,"1.3846","1.3838","0.27"
"2024-10-27","1.3889",4,"1.3918","1.3853","-0.01"
"2024-10-28","1.3914",4,"1.3918","1.3867","0.18"
"2024-10-29","1.3903",4,"1.3918","1.3881","-0.08"
"2024-10-30","1.3933",4,"1.3918","1.3897","0.22"
"2024-10-31","1.3950",4,"1.3918","1.3913","0.12"
